도서관명,구/군,이미지경로,이미지경로2,출처URL,공공누리 유형,출처
주례2동 작은도서관,사상구,,,,,
주례1동 작은도서관,사상구,,,,,
엄궁쌈지 작은도서관,사상구,,,,,
어린이&가족도서관 꿈꾸는 글나라,사상구,,,,,
샘물 작은도서관,사상구,,,,,
사상 작은도서관,사상구,,,,,
부산광역시 여성문화회관 도서정보자료실,사상구,,,,,
백양낙조전망대 작은도서관,사상구,,,,,
모라1동 작은도서관,사상구,,,,,
"덕포1동 어린이복합문화공간 그리며, 들락날락 작은도서관",사상구,,,,,
다문화 도서관,사상구,,,,,
꿈나래 작은도서관,사상구,,,,,
고맙습니다 보물섬 작은도서관,사상구,,,,,
LH감전 꿈꾸는 작은도서관,사상구,,,,,
주례열린도서관,사상구,,,,,
사상도서관,사상구,,,,,
토곡어린이작은도서관,연제구,,,,,
배산작은도서관,연제구,,,,,
밤골작은도서관,연제구,,,,,
해맞이작은도서관,연제구,,,,,
솔벗작은도서관,연제구,,,,,
연산도서관,연제구,,,,,
연제만화도서관,연제구,,,,,
연제도서관,연제구,,,,,
교리도서관,기장군,,,,,
고촌어울림도서관,기장군,,,,,
내리새라도서관,기장군,,,,,
대라다목적도서관,기장군,,,,,
정관어린이도서관,기장군,,,,,
정관도서관,기장군,,,,,
기장도서관,기장군,http://tong.visitkorea.or.kr/cms/resource/87/3476687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3476693_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산기독교 종합사회복지관 강유두작은도서관,서구,,,,,
부민작은도서관,서구,,,,,
한형석 자유아동극장 작은도서관,서구,,,,,
송도바다 작은도서관,서구,,,,,
어울림 작은도서관,서구,,,,,
초장동꿈터작은도서관,서구,,,,,
꽃마루어린이작은도서관,서구,,,,,
한새마을 작은도서관,서구,,,,,
짬짬이 작은도서관,서구,,,,,
닥밭골 작은 도서관,서구,,,,,
향기나는 작은도서관,서구,,,,,
천마니 작은도서관,서구,,,,,
숲속어린이 작은도서관,서구,,,,,
부산연탄은행 마르지 않는 샘,서구,,,,,
부산대학교병원 작은(쌈지)도서관,서구,,,,,
동서남-BOOK 작은도서관,서구,,,,,
대신푸르지오 푸른도서관,서구,,,,,
다독임작은도서관,서구,,,,,
부산시여성회관 작은도서관,남구,,,,,
부산문현교회 작은도서관,남구,,,,,
밝은미래 작은도서관,남구,,,,,
바다Dream작은도서관 들락날락,남구,,,,,
문현마을문고,남구,,,,,
리인 꿈터 도서관,남구,,,,,
로뎀나무 아래 작은 도서관,남구,,,,,
로고스 마을 도서관,남구,,,,,
들꽃이야기 작은도서관,남구,,,,,
더블유아파트 작은도서관,남구,,,,,
대한실버회 작은도서관,남구,,,,,
대천 작은도서관,남구,,,,,
대동골문화센터작은도서관,남구,,,,,
다문화행복나눔 작은도서관,남구,,,,,
꿈이 자라는 작은도서관,남구,,,,,
글로벌도서관,남구,,,,,
감만꿈터,남구,,,,,
가보자 작은도서관,남구,,,,,
LG메트로작은쌈지도서관,남구,,,,,
망미작은도서관,수영구,,,,,
민락작은도서관,수영구,,,,,
알로이시오기지 작은도서관,서구,,,,,
송도제일교회문고,서구,,,,,
샤롯데 작은도서관,서구,,,,,
신나요 도서관,남구,,,,,
수학공방강장작은도서관,남구,,,,,
수피아,남구,,,,,
솔로몬 도서관,남구,,,,,
샘터작은도서관,남구,,,,,
샘터꿈의도서관,남구,,,,,
브니엘 학습관 문고,남구,,,,,
